chassis_serie,close_date,close_datetime,component,creation_datetime,creation_date,severity_cur,customer_type,dealer_city,dealer_id,dealer_country,dealer_name,dealer_state,error_code,failure_mode,first_queued_seconds,region,owner_country,owner_department,description,mileage,mileage_unit,product_id,product,creator_country,creator_department,time_to_close_seconds,assigned_team,sr_area,sr_type,severity,ticket_channel,status_line,status,sub_status,ticket_id,chassis_number,vin_number
S-476,,,AI Sensor Rack,2026-01-01 00:00:00,2026-01-01,Medium,Service Partner,San Jose,D-1001,USA,Northway Dealer,CA,F-3001,Leak,3847,South America,USA,Quality,[TEST-VARIANT-B] Found seepage from Hydraulic Pump. No clear root cause. no obvious warning light. :: synthetic drift scenario,162544,miles,P-2515,Hydrogen Drive Unit,Canada,Field Service,,Warranty Taskforce,Transmission,Safety Concern,High,VIP Hotline,Open,In Progress,Completed,variant-b-000000,CH364801,Z4SKDHF1T59HAV5PE
S-396,,,Hydrogen Injector,2026-01-01 01:00:00,2026-01-01,High,Independent Owner,San Jose,D-1001,USA,Northway Dealer,CA,W-2003,Short Circuit,1701,North America,Brazil,Field Service,[TEST-VARIANT-B] Sensors seems to have spark; driver says it started after startup :: synthetic drift scenario,327366,km,P-6337,Autonomous Controller,Canada,Quality,,Field Ops Rapid,Suspension,Safety Concern,High,Proactive Monitoring,Open,Awaiting Parts,Parts Ordered,variant-b-000001,CH413194,8R5Y7YT684BNWK0V4
S-935,,,Safety Controller,2026-01-01 02:00:00,2026-01-01,Medium,Fleet Operator,San Jose,D-1001,USA,Northway Dealer,CA,E-1003,Wear,1887,North America,Brazil,Operations,[TEST-VARIANT-B] Fuel Injector appears abrasion. Intermittent fault. customer says it is getting worse. :: synthetic drift scenario,65990,miles,P-5778,Hydrogen Drive Unit,Brazil,Sales,,Field Ops Rapid,Body/Chassis,Warranty Claim,Critical,Proactive Monitoring,Open,Escalated,Reopened,variant-b-000002,CH830862,29ZNZFD1XLN95GVY0
S-955,,,Safety Controller,2026-01-01 03:00:00,2026-01-01,High,Independent Owner,San Jose,D-1001,USA,Northway Dealer,CA,E-1005,Noise,3082,South America,Canada,Field Service,[TEST-VARIANT-B] Electrical System Battery has knocking; onte the unusual behavior. :: synthetic drift scenario,498291,miles,P-4797,Hydrogen Drive Unit,Canada,Operations,,Warranty Taskforce,Engine,Maintenance Request,High,Proactive Monitoring,Open,Escalated,Action Required,variant-b-000003,CH351113,ZEJXY7EGN4JGKHCBF
S-968,,,AI Sensor Rack,2026-01-01 04:00:00,2026-01-01,Medium,Independent Owner,San Jose,D-1001,USA,Northway Dealer,CA,E-1005,Noise,3467,North America,Brazil,Customer Support,[TEST-VARIANT-B] Transmission System Clutch has knocknig; note the unusual behavior.FYI :: synthetic drift scenario,371108,miles,P-3932,Hydrogen Drive Unit,Germany,Customer Support,,Escalation Lab,Electrical,Warranty Claim,High,VIP Hotline,Open,New,Action Required,variant-b-000004,CH217134,D93UT3EV9JC37M56Z
S-451,,,Hydrogen Injector,2026-01-01 05:00:00,2026-01-01,Critical,Independent Owner,Munich,D-1002,Germany,EuroAuto Dealer,Bavaria,W-2003,Failure,5527,North America,Canada,Field Service,[TEST-VARIANT-B] Brake System Hydraulic Line has not responding; note the unusual behavior. pls :: synthetic drift scenario,72523,miles,P-1226,Autonomous Controller,France,Sales,,Field Ops Rapid,Electrical,Safety Concern,High,VIP Hotline,Open,Escalated,Action Required,variant-b-000005,CH678151,VR6ZN06TY6ASNJXWG
S-244,,,Hydrogen Injector,2026-01-01 06:00:00,2026-01-01,Medium,Fleet Operator,Sao Paulo,D-1004,Brazil,AmeCar Dealer,SP,F-3001,Failure,1220,EU,Brazil,Engineering,[TEST-VARIANT-B] Stopped working affecting Cooling Pump on Engine Control Module Tech notes :: synthetic drift scenario,373508,km,P-5261,Hydrogen Drive Unit,China,Field Service,,Field Ops Rapid,Electrical,Technical Issue,Medium,VIP Hotline,Open,Assigned,Parts Ordered,variant-b-000006,CH521184,U6Z8VL348M329PJ98
S-739,,,Hydrogen Injector,2026-01-01 07:00:00,2026-01-01,High,Independent Owner,Sao Paulo,D-1004,Brazil,AmeCar Dealer,SP,E-1004,Short Circuit,6650,South America,France,Engineering,[TEST-VARIANT-B] Rpt: Engine Control Module Fuel Injector showing power surge after long run check asap :: synthetic drift scenario,284437,km,P-1637,Autonomous Controller,USA,Field Service,,Field Ops Rapid,Engine,Technical Issue,Critical,Proactive Monitoring,Open,Awaiting Parts,Investigation,variant-b-000007,CH656691,RE4EEBZB9S9WMSDGP
S-540,2025-09-21,2025-09-21 05:20:50+00:00,AI Sensor Rack,2026-01-01 08:00:00,2026-01-01,Critical,Fleet Operator,San Jose,D-1001,USA,Northway Dealer,CA,W-2003,Wear,4113,North America,Germany,Quality,[TEST-VARIANT-B] Transmission System Clutch has degraded; note the unusual behavior :: synthetic drift scenario,241343,km,P-3620,Hydrogen Drive Unit,USA,Engineering,1839600.0,Warranty Taskforce,Body/Chassis,Maintenance Request,Medium,VIP Hotline,Closed,Closed,Action Required,variant-b-000008,CH905737,77FS16WL52TE0S4K3
S-434,,,Safety Controller,2026-01-01 09:00:00,2026-01-01,High,Fleet Operator,Toronto,D-1005,Canada,CanService Dealer,ON,E-1002,Failure,553,Asia,China,Field Service,[TEST-VARIANT-B] Fuond fault from Battery. Looks like wear. needs inspection. :: synthetic drift scenario,443432,miles,P-3381,Autonomous Controller,China,Field Service,,Field Ops Rapid,Electrical,Technical Issue,High,Proactive Monitoring,Open,Assigned,Parts Ordered,variant-b-000009,CH941379,S07FDXB0J5EVX7TLV
